                 LAT,                 LON,
          +329835215,         -1172649120,
          +329835199,         -1172649158,
          +329835185,         -1172649194,
          +329835176,         -1172649221,
          +329835171,         -1172649244,
          +329835140,         -1172649322,
          +329835128,         -1172649339,
          +329835120,         -1172649358,
          +329835114,         -1172649385,
          +329835107,         -1172649409,
          +329835101,         -1172649426,
          +329835096,         -1172649439,
          +329835086,         -1172649453,
          +329835078,         -1172649468,
          +329835071,         -1172649485,
          +329835064,         -1172649502,
          +329835055,         -1172649522,
          +329835054,         -1172649531,
          +329835051,         -1172649541,
          +329835044,         -1172649554,
          +329835038,         -1172649565,
          +329835031,         -1172649577,
          +329835021,         -1172649594,
          +329835012,         -1172649606,
          +329835006,         -1172649610,
          +329834999,         -1172649621,
          +329834994,         -1172649632,
          +329834988,         -1172649639,
          +329834982,         -1172649646,
          +329834982,         -1172649649,
          +329834976,         -1172649658,
          +329834968,         -1172649666,
          +329834960,         -1172649675,
          +329834954,         -1172649684,
          +329834951,         -1172649696,
          +329834953,         -1172649702,
          +329834950,         -1172649708,
          +329834944,         -1172649719,
          +329834945,         -1172649733,
          +329834944,         -1172649746,
          +329834938,         -1172649758,
          +329834935,         -1172649769,
          +329834924,         -1172649787,
          +329834916,         -1172649793,
          +329834906,         -1172649800,
          +329834895,         -1172649812,
          +329834883,         -1172649828,
          +329834869,         -1172649845,
          +329834855,         -1172649860,
          +329834848,         -1172649871,
          +329834832,         -1172649893,
          +329834824,         -1172649903,
          +329834822,         -1172649909,
          +329834814,         -1172649924,
          +329834803,         -1172649939,
          +329834794,         -1172649942,
          +329834781,         -1172649956,
          +329834775,         -1172649962,
          +329834765,         -1172649976,
          +329834758,         -1172649984,
          +329834745,         -1172650002,
          +329834741,         -1172650008,
          +329834739,         -1172650015,
          +329834728,         -1172650038,
          +329834729,         -1172650036,
          +329834726,         -1172650044,
          +329834722,         -1172650051,
          +329834711,         -1172650073,
          +329834704,         -1172650086,
          +329834700,         -1172650091,
          +329834694,         -1172650093,
          +329834688,         -1172650096,
          +329834689,         -1172650097,
          +329834684,         -1172650103,
          +329834678,         -1172650111,
          +329834672,         -1172650125,
          +329834668,         -1172650130,
          +329834659,         -1172650138,
          +329834656,         -1172650142,
          +329834660,         -1172650143,
          +329834655,         -1172650155,
          +329834647,         -1172650163,
          +329834639,         -1172650171,
          +329834632,         -1172650178,
          +329834629,         -1172650182,
          +329834632,         -1172650190,
          +329834641,         -1172650190,
          +329834640,         -1172650193,
          +329834638,         -1172650195,
          +329834636,         -1172650197,
          +329834631,         -1172650200,
          +329834630,         -1172650201,
          +329834623,         -1172650198,
          +329834614,         -1172650200,
          +329834607,         -1172650205,
          +329834602,         -1172650213,
          +329834601,         -1172650212,
          +329834606,         -1172650209,
          +329834609,         -1172650204,
          +329834600,         -1172650203,
          +329834588,         -1172650206,
          +329834577,         -1172650209,
          +329834566,         -1172650215,
          +329834557,         -1172650218,
          +329834547,         -1172650224,
          +329834539,         -1172650230,
          +329834534,         -1172650227,
          +329834531,         -1172650222,
          +329834523,         -1172650221,
          +329834511,         -1172650223,
          +329834505,         -1172650218,
          +329834497,         -1172650214,
          +329834486,         -1172650209,
          +329834479,         -1172650203,
          +329834468,         -1172650197,
          +329834471,         -1172650182,
          +329834474,         -1172650172,
          +329834478,         -1172650159,
          +329834475,         -1172650159,
          +329834470,         -1172650164,
          +329834469,         -1172650159,
          +329834471,         -1172650152,
          +329834472,         -1172650151,
          +329834470,         -1172650151,
          +329834472,         -1172650146,
          +329834471,         -1172650140,
          +329834468,         -1172650135,
          +329834466,         -1172650135,
          +329834462,         -1172650135,
          +329834459,         -1172650136,
          +329834451,         -1172650135,
          +329834445,         -1172650124,
          +329834435,         -1172650126,
          +329834443,         -1172650112,
          +329834456,         -1172650118,
          +329834451,         -1172650181,
          +329834464,         -1172650243,
          +329834470,         -1172650300,
          +329834503,         -1172650290,
          +329834518,         -1172650274,
          +329834516,         -1172650262,
          +329834501,         -1172650270,
          +329834485,         -1172650282,
